"id","code","name","depreciation_rate"
"asset_legal_rate_1680","1680","Máquinas, aparelhos, utensílios e instalações de uso específico",14.28
"asset_legal_rate_1685","1685","Maquinaria de uso específico",14.28
"asset_legal_rate_1690","1690","Instalações industriais de uso específico",10.00
"asset_legal_rate_1700","1700","Aparelhos e instrumentos para massagens, depilação, secagem e trabalhos similares",20.00
"asset_legal_rate_1705","1705","Instalações de uso específico",10.00
"asset_legal_rate_1710","1710","Roupas brancas",50.00
"asset_legal_rate_2005","2005","Edificações ligeiras (fibrocimento, madeira, zinco, etc.)",10.00
"asset_legal_rate_2010","2010","Edifícios (a): Habitacionais",2.00
"asset_legal_rate_2015","2015","Edifícios (a): Comerciais e administrativos",2.00
"asset_legal_rate_2020","2020","Edifícios (a): Industriais ou edificações integradas em conjuntos industriais",5.00
"asset_legal_rate_2025","2025","Edifícios (a): Afetos a hotéis, restaurantes e similares, a garagens e estações de serviço, a serviços de saúde e de ensino e a serviços recreativos e culturais",5.00
"asset_legal_rate_2035","2035","Fornos",10.00
"asset_legal_rate_2040","2040","Obras hidráulicas, incluindo poços de água",5.00
"asset_legal_rate_2045","2045","Obras de pavimentação de pedra, cimento, betão, etc",5.00
"asset_legal_rate_2050","2050","Pontes e aquedutos: De betão ou alvenaria",3.33
"asset_legal_rate_2055","2055","Pontes e aquedutos: De madeira",20.00
"asset_legal_rate_2060","2060","Pontes e aquedutos: Metálicos",8.33
"asset_legal_rate_2065","2065","Reservatórios de água: De torre ou de superfície",5.00
"asset_legal_rate_2070","2070","Reservatórios de água: Subterrâneos",3.33
"asset_legal_rate_2075","2075","Silos",5.00
"asset_legal_rate_2080","2080","Vedações e arranjos urbanísticos: Arranjos urbanísticos",10.00
"asset_legal_rate_2085","2085","Vedações e arranjos urbanísticos: Vedações ligeiras",8.33
"asset_legal_rate_2090","2090","Vedações e arranjos urbanísticos: Muros",5.00
"asset_legal_rate_2095","2095","De água, eletricidade, ar comprimido, refrigeração e telefónicas (instalações interiores)",10.00
"asset_legal_rate_2100","2100","De aquecimento central",6.66
"asset_legal_rate_2105","2105","Ascensores, monta-cargas e escadas mecânicas",10.00
"asset_legal_rate_2110","2110","De cabos aéreos e suportes",10.00
"asset_legal_rate_2115","2115","De caldeiras e alambiques",7.14
"asset_legal_rate_2120","2120","De captação e distribuição de água (instalações privativas)",5.00
"asset_legal_rate_2125","2125","De carga, descarga e embarque (instalações privativas)",7.14
"asset_legal_rate_2130","2130","Centrais telefónicas privativas",10.00
"asset_legal_rate_2135","2135","De distribuição de combustíveis líquidos (instalações privativas)",10.00
"asset_legal_rate_2140","2140","De embalagem",10.00
"asset_legal_rate_2145","2145","Instalações de armazenagem e de depósito: De betão",5.00
"asset_legal_rate_2150","2150","Instalações de armazenagem e de depósito: De madeira",6.66
"asset_legal_rate_2155","2155","Instalações de armazenagem e de depósito: Metálicos",8.33
"asset_legal_rate_2160","2160","De lagares e prensas",7.14
"asset_legal_rate_2165","2165","Postos de transformação",5.00
"asset_legal_rate_2170","2170","Radiofónicas, radiotelegráficas e de televisão (instalações privativas)",12.50
"asset_legal_rate_2175","2175","Refeitórios e cozinhas privativas",10.00
"asset_legal_rate_2180","2180","Reservatórios para combustíveis líquidos",6.66
"asset_legal_rate_2185","2185","Vitrinas e estantes fixas",12.50
"asset_legal_rate_2186","2186","Espaços expositivos de caráter itinerante",25.00
"asset_legal_rate_2190","2190","Instalações de centros de formação profissional",16.66
"asset_legal_rate_2195","2195","Não especificadas",10.00
"asset_legal_rate_2200","2200","Aparelhagem e máquinas eletrónicas",20.00
"asset_legal_rate_2205","2205","Aparelhagem de reprodução de som",20.00
"asset_legal_rate_2210","2210","Aparelhos de ar condicionado",12.50
"asset_legal_rate_2215","2215","Aparelhos de aquecimento (irradiadores e outros)",12.50
"asset_legal_rate_2220","2220","Aparelhos de laboratório e precisão",14.28
"asset_legal_rate_2225","2225","Aparelhos de ventilação (ventoinhas e outros)",12.50
"asset_legal_rate_2230","2230","Balanças",12.50
"asset_legal_rate_2235","2235","Compressores",25.00
"asset_legal_rate_2240","2240","Computadores",33.33
"asset_legal_rate_2245","2245","Equipamento de centros de formação profissional",16.66
