id,code,name
hr_tax_office_2771,2771,S.CRUZ DA GRACIOSA
hr_tax_office_2780,2780,VELAS
hr_tax_office_2798,2798,CALHETA - MADEIRA
hr_tax_office_2801,2801,CAMARA DE LOBOS
hr_tax_office_2810,2810,FUNCHAL-1.
hr_tax_office_2828,2828,MACHICO
hr_tax_office_2836,2836,PONTA DO SOL
hr_tax_office_2844,2844,PORTO MONIZ
hr_tax_office_2852,2852,PORTO SANTO
hr_tax_office_2860,2860,RIBEIRA BRAVA
hr_tax_office_2879,2879,S.VICENTE (MADEIRA)
hr_tax_office_2887,2887,SANTA CRUZ (MADEIRA)
hr_tax_office_2895,2895,SANTANA
hr_tax_office_2909,2909,CORVO
hr_tax_office_2917,2917,HORTA
hr_tax_office_2925,2925,LAJES DAS FLORES
hr_tax_office_2933,2933,LAGES DO PICO
hr_tax_office_2941,2941,MADALENA
hr_tax_office_2950,2950,S.ROQUE DO PICO
hr_tax_office_2968,2968,S.CRUZ DAS FLORES
hr_tax_office_2976,2976,LAGOA (S. MIGUEL)
hr_tax_office_2984,2984,NORDESTE
hr_tax_office_2992,2992,PONTA DELGADA
hr_tax_office_3000,3000,POVOACAO
hr_tax_office_3018,3018,RIBEIRA GRANDE
hr_tax_office_3026,3026,VILA FRANCA DO CAMPO
hr_tax_office_3034,3034,VILA DO PORTO
hr_tax_office_3042,3042,VENDAS NOVAS
hr_tax_office_3050,3050,COIMBRA-2.
hr_tax_office_3069,3069,LISBOA-1
hr_tax_office_3085,3085,LISBOA-3
hr_tax_office_3107,3107,LISBOA-8
hr_tax_office_3131,3131,AMADORA-1.
hr_tax_office_3140,3140,AMADORA-2.
hr_tax_office_3158,3158,LOURES-3
hr_tax_office_3166,3166,SINTRA-4. QUELUZ
hr_tax_office_3174,3174,PORTO-1
hr_tax_office_3182,3182,PORTO-2
hr_tax_office_3190,3190,PORTO-5
hr_tax_office_3204,3204,VILA NOVA DE GAIA-2.
hr_tax_office_3212,3212,ALMADA-2. C.PIEDADE
hr_tax_office_3239,3239,LISBOA-7
hr_tax_office_3247,3247,LISBOA-2
hr_tax_office_3255,3255,LISBOA-10
hr_tax_office_3263,3263,LISBOA-5
hr_tax_office_3301,3301,LISBOA-4
hr_tax_office_3328,3328,LISBOA-9
hr_tax_office_3336,3336,LISBOA-6
hr_tax_office_3344,3344,LISBOA-11
hr_tax_office_3360,3360,PORTO-3
hr_tax_office_3387,3387,PORTO-4
